序号,行业,公司家数,行业指数,阶段涨跌幅,流入资金,流出资金,净额
36,芯片概念,930,5087.2,7.39%,2042.83,2145.6,-102.77
37,智能穿戴,243,4416.23,7.25%,437.11,456.49,-19.39
38,苹果概念,140,6082.89,7.13%,314.47,346.51,-32.04
39,6G概念,99,2600.51,7.01%,313.05,320.34,-7.3
40,AI眼镜,194,2695.06,6.97%,375.44,383.57,-8.12
41,合成生物,170,1617.24,6.95%,117.47,103.9,13.57
42,C2M概念,39,2005.67,6.90%,12.51,12.53,-0.03
43,传感器,272,1625.91,6.83%,331.03,328.73,2.3
44,F5G概念,36,4623.23,6.79%,259.42,293.68,-34.26
45,汽车电子,397,5855.89,6.79%,899.98,941.21,-41.23
46,肝炎概念,140,1150.97,6.77%,76.58,60.56,16.02
47,PET铜箔,49,2081.39,6.69%,152.93,150.92,2.0
48,培育钻石,19,2636.17,6.68%,65.28,58.3,6.98
49,智能音箱,60,2772.92,6.63%,112.19,128.19,-16.0
50,流感,163,1495.27,6.62%,95.68,79.24,16.43
51,染料,40,1537.95,6.61%,16.55,14.03,2.51
52,仿制药一致性评价,145,1682.09,6.60%,84.44,68.68,15.76
53,无线充电,60,2116.18,6.49%,70.46,70.53,-0.07
54,毛发医疗,27,1171.42,6.47%,15.6,11.89,3.71
55,华为海思概念股,52,4213.33,6.47%,103.88,103.2,0.68
56,BC电池,52,1217.53,6.42%,73.82,67.98,5.84
57,眼科医疗,62,1739.86,6.37%,36.59,29.58,7.0
58,毫米波雷达,126,2192.94,6.35%,322.31,324.97,-2.66
59,血氧仪,24,1734.49,6.34%,27.79,25.3,2.49
60,幽门螺杆菌概念,74,1048.96,6.31%,27.88,20.02,7.86
61,脑机接口,73,1567.81,6.23%,69.8,61.83,7.96
62,专精特新,1249,1641.62,6.21%,844.06,828.2,15.86
63,石墨烯,78,1797.3,6.10%,99.11,91.01,8.1
64,智能医疗,341,4536.56,6.10%,303.25,276.21,27.04
65,星闪概念,74,1400.67,6.09%,48.5,52.0,-3.5
66,英伟达概念,81,1904.22,6.08%,269.16,276.87,-7.71
67,医疗器械概念,416,3080.04,6.01%,291.86,285.7,6.16
68,钙钛矿电池,92,1105.33,5.96%,126.04,127.35,-1.31
69,光纤概念,115,3995.22,5.86%,545.79,590.74,-44.96
70,小米概念,375,2081.02,5.82%,600.52,614.55,-14.02
71,华为手机,45,1707.71,5.80%,118.96,129.06,-10.1
72,液冷服务器,241,2296.22,5.79%,608.3,665.32,-57.02
73,智能座舱,171,1610.35,5.79%,238.68,247.11,-8.43
74,医美概念,96,1302.41,5.79%,57.12,51.56,5.55
75,5G,454,6729.54,5.68%,1394.47,1437.96,-43.49
76,POE胶膜,29,905.07,5.63%,22.27,27.24,-4.96
77,EDR概念,20,1537.65,5.62%,53.35,48.94,4.42
78,高压氧舱,11,1210.15,5.59%,10.15,8.89,1.26
79,租售同权,29,838.74,5.56%,12.58,13.58,-1.0
80,比亚迪概念,696,1926.98,5.53%,769.58,729.68,39.9
81,人民币贬值受益,610,2379.34,5.53%,897.96,978.79,-80.83
82,工业母机,117,1924.53,5.49%,99.83,98.84,0.99
83,HJT电池,69,3003.86,5.46%,72.06,70.84,1.22
84,维生素,77,1380.49,5.41%,42.92,34.47,8.45
85,AI手机,40,2020.21,5.36%,156.25,156.95,-0.7
86,有机硅概念,56,2001.99,5.36%,39.69,38.14,1.56
87,机器视觉,251,1927.19,5.33%,203.48,217.31,-13.84
88,人形机器人,466,2400.54,5.32%,592.74,627.77,-35.03
89,固态电池,299,1416.29,5.29%,447.27,407.23,40.05
90,TOPCON电池,82,1129.61,5.29%,106.91,100.09,6.82
91,烟草,42,1550.83,5.28%,16.0,14.95,1.05
92,核污染防治,59,1617.38,5.27%,36.59,39.94,-3.36
93,托育服务,16,1089.97,5.26%,7.74,10.15,-2.42
94,生物疫苗,62,1665.08,5.25%,34.5,28.18,6.32
95,海峡两岸,319,1904.06,5.25%,418.24,437.93,-19.68
96,上海自贸区,58,4419.86,5.24%,71.22,75.29,-4.07
97,医药电商,184,1021.48,5.24%,87.69,67.68,20.01
98,3D打印,142,4446.94,5.23%,233.24,218.85,14.39
99,食品安全,73,4815.9,5.20%,37.19,38.71,-1.52
100,智能家居,292,3761.4,5.20%,234.13,241.32,-7.19
101,宁德时代概念,302,2264.64,5.18%,431.92,396.7,35.22
102,青蒿素,11,2037.18,5.16%,9.1,6.2,2.89
103,PVDF概念,17,1427.38,5.09%,19.64,19.4,0.24
104,新型工业化,292,1687.12,5.07%,203.55,198.74,4.81
105,太赫兹,24,2069.96,5.02%,74.92,92.26,-17.33
106,空间计算,63,1255.99,4.98%,26.72,26.76,-0.05
107,粤港澳大湾区,498,2650.41,4.98%,541.67,549.14,-7.47
108,PEEK材料,54,1905.49,4.91%,70.65,67.13,3.52
109,民营医院,75,1589.16,4.91%,68.25,59.19,9.07
110,华为昇腾,105,1478.24,4.89%,61.61,61.01,0.6
111,宠物经济,127,1449.46,4.88%,41.84,44.32,-2.48
112,三胎概念,213,2291.49,4.88%,85.39,75.04,10.34
113,数据安全,176,1125.22,4.77%,183.57,194.97,-11.4
114,铜缆高速连接,48,3226.0,4.74%,168.44,201.21,-32.76
115,共享单车,14,1047.29,4.72%,2.61,2.22,0.4
116,华为盘古,30,994.28,4.71%,17.17,18.42,-1.25
117,华为概念,1006,3515.12,4.71%,1465.21,1506.39,-41.18
118,新能源汽车,1062,4639.12,4.68%,1264.76,1303.06,-38.3
119,数据中心(AIDC),658,2326.35,4.66%,1429.96,1543.41,-113.45
120,人造肉,20,1621.65,4.65%,11.74,11.13,0.61
121,减速器,139,1836.17,4.64%,84.87,87.93,-3.06
122,东数西算(算力),415,2230.16,4.63%,760.26,797.27,-37.0
123,机器人概念,1229,3926.76,4.63%,1194.28,1232.87,-38.59
124,氟化工概念,69,5446.49,4.63%,90.67,88.18,2.49
125,MR(混合现实),71,1726.15,4.61%,102.6,121.13,-18.54
126,汽车热管理,143,2049.71,4.60%,99.92,103.12,-3.19
127,举牌,22,3101.48,4.60%,7.67,8.21,-0.53
128,2026中报预增,513,1115.52,4.58%,1398.82,1480.86,-82.04
129,融资融券,3870,1805.31,4.58%,4551.82,4702.93,-151.11
130,锂电池概念,612,1906.43,4.56%,814.21,804.41,9.8
131,网络安全,195,5391.89,4.55%,213.69,233.42,-19.73
132,超级电容,45,3152.08,4.55%,135.13,139.01,-3.88
133,跨境电商,343,968.94,4.54%,207.95,205.81,2.14
134,家用电器,184,4049.96,4.50%,139.98,150.3,-10.32
135,高压快充,125,1955.11,4.50%,200.24,208.6,-8.37
136,长三角一体化,234,2007.77,4.47%,142.4,168.4,-26.01
137,光伏概念,602,4349.9,4.44%,788.38,801.51,-13.12
138,智谱AI,71,1387.61,4.43%,73.01,76.5,-3.49
139,数字水印,29,1096.61,4.40%,24.84,27.66,-2.82
